id,Title,Content,_wp_old_slug,project_type,_project_type,image_1,_image_1,image_2,_image_2,image_3,_image_3,image_4,_image_4,project_url,_project_url,_primary_term_category,litespeed_vpi_list,Categories,Tags,Clients,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Excerpt,Date,"Post Type",Permalink,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
70,"PAID Carwash Banner",,,banner|banner|banner|banner|banner,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:23:""project-paidcarwash.jpg"";}",Banners,Illustrator,"PAID Carwash",https://marcstampfli.com/wp-content/uploads/2021/04/project-paidcarwash.jpg,project-paidcarwash.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-paidcarwash.jpg,254,project-paidcarwash,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-paidcarwash.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/paid-carwash-banner/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,paid-carwash-banner,,,0,0,28,closed,closed,2021-04-10
71,"Irie Bites Flyer",,,flyer|flyer|flyer|flyer|flyer,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,425,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,56,"a:1:{i:0;s:27:""project-iriebites-flyer.gif"";}",Flyers,Photoshop,"Irie Bites",https://marcstampfli.com/wp-content/uploads/project-iriebites-flyer.gif|https://marcstampfli.com/wp-content/uploads/project-iriebites-flyer2.gif,project-iriebites-flyer.gif|project-iriebites-flyer2.gif,/home/marcfrit/public_html/wp-content/uploads/project-iriebites-flyer.gif|/home/marcfrit/public_html/wp-content/uploads/project-iriebites-flyer2.gif,424|425,project-iriebites-flyer|project-iriebites-flyer2,|,|,|,https://marcstampfli.com/wp-content/uploads/project-iriebites-flyer.gif,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/irie-bites-flyer/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,irie-bites-flyer,,,0,0,31,closed,closed,2021-04-10
72,"Trini Revellers Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:34:""project-trinirevellers-website.jpg"";}",Websites,"Web Development","Trini Revellers",https://marcstampfli.com/wp-content/uploads/project-trinirevellers-website.jpg,project-trinirevellers-website.jpg,/home/marcfrit/public_html/wp-content/uploads/project-trinirevellers-website.jpg,414,project-trinirevellers-website,,,,https://marcstampfli.com/wp-content/uploads/project-trinirevellers-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/trini-revellers-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,trini-revellers-website,,,0,0,32,closed,closed,2021-04-10
73,"Nicholas Stämpfli Business Card",,,bizcard|bizcard|bizcard|bizcard|bizcard,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:25:""project-nicholas-card.jpg"";}","Business Cards",Photoshop,"Nicholas Stämpfli",https://marcstampfli.com/wp-content/uploads/2021/04/project-nicholas-card.jpg,project-nicholas-card.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-nicholas-card.jpg,248,project-nicholas-card,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-nicholas-card.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/nicholas-stampfli-business-card/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,nicholas-stampfli-business-card,,,0,0,33,closed,closed,2021-04-10
74,"Marc Stampfli Business Card",,,bizcard|bizcard|bizcard|bizcard|bizcard,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:21:""project-marc-card.jpg"";}","Business Cards",Photoshop,"Marc Stämpfli",https://marcstampfli.com/wp-content/uploads/2021/04/project-marc-card.jpg,project-marc-card.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-marc-card.jpg,249,project-marc-card,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-marc-card.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/marc-stampfli-business-card/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,marc-stampfli-business-card,,,0,0,34,closed,closed,2021-04-10
75,"Softbox Studios Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,408,field_606b68dec5162,409,field_606b690ec5163,410,field_606b6910c5164,411,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:27:""project-softbox-website.jpg"";}",Websites,"Web Development","Softbox Studios",https://marcstampfli.com/wp-content/uploads/project-softbox-website.jpg|https://marcstampfli.com/wp-content/uploads/project-softbox-website2.jpg|https://marcstampfli.com/wp-content/uploads/project-softbox-website3.jpg|https://marcstampfli.com/wp-content/uploads/project-softbox-website4.jpg|https://marcstampfli.com/wp-content/uploads/project-softbox-website5.jpg,project-softbox-website.jpg|project-softbox-website2.jpg|project-softbox-website3.jpg|project-softbox-website4.jpg|project-softbox-website5.jpg,/home/marcfrit/public_html/wp-content/uploads/project-softbox-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-softbox-website2.jpg|/home/marcfrit/public_html/wp-content/uploads/project-softbox-website3.jpg|/home/marcfrit/public_html/wp-content/uploads/project-softbox-website4.jpg|/home/marcfrit/public_html/wp-content/uploads/project-softbox-website5.jpg,407|408|409|410|411,project-softbox-website|project-softbox-website2|project-softbox-website3|project-softbox-website4|project-softbox-website5,||||,||||,||||,https://marcstampfli.com/wp-content/uploads/project-softbox-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/softbox-studios-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,softbox-studios-website,,,0,0,35,closed,closed,2021-04-10
76,"Gimmick Tees Logo",,test|test|test|test|test,logo|logo|logo|logo|logo,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:14:""project-gt.jpg"";}",Logos,Photoshop,"Gimmick Tees",https://marcstampfli.com/wp-content/uploads/2021/04/project-gt.jpg,project-gt.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-gt.jpg,256,project-gt,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-gt.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/gimmick-tees-logo/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,gimmick-tees-logo,,,0,0,26,closed,closed,2021-04-10
108,"Pierre Guillaume Social Story",,,story|story|story|story|story,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,,"Social Stories",Photoshop,"Pierre Guillaume",https://marcstampfli.com/wp-content/uploads/2021/04/project-pierre.jpg,project-pierre.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-pierre.jpg,268,project-pierre,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-pierre.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/?post_type=project&p=108,draft,1,marc,marcstampfli@gmail.com,Marc,Stampfli,pierre-guillaume-social-story,,,0,0,13,closed,closed,2022-10-03
110,"Ashton Menzies Social Story",,,story|story|story|story|story,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:18:""project-ashton.jpg"";}","Social Stories",Photoshop,"Ashton Menzies",https://marcstampfli.com/wp-content/uploads/2021/04/project-ashton.jpg,project-ashton.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-ashton.jpg,269,project-ashton,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-ashton.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/project/ashton-menzies-social-story/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,ashton-menzies-social-story,,,0,0,12,closed,closed,2021-04-10
113,"Van's Vegan Delights Logo",,,logo|logo|logo|logo|logo,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,,Logos,Photoshop,"Van's Vegan Delights",https://marcstampfli.com/wp-content/uploads/2021/04/project-vansvegan.jpg,project-vansvegan.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-vansvegan.jpg,271,project-vansvegan,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-vansvegan.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/?post_type=project&p=113,draft,1,marc,marcstampfli@gmail.com,Marc,Stampfli,vans-vegan-delights-logo,,,0,0,10,closed,closed,2022-10-03
115,"Van's Vegan Delights Social Story",,vans-vegan-delights-flyer|vans-vegan-delights-flyer|vans-vegan-delights-flyer|vans-vegan-delights-flyer|vans-vegan-delights-flyer,story|story|story|story|story,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,,"Social Stories",Photoshop,"Van's Vegan Delights",https://marcstampfli.com/wp-content/uploads/2021/04/project-vans-flyer.jpg,project-vans-flyer.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-vans-flyer.jpg,272,project-vans-flyer,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-vans-flyer.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/?post_type=project&p=115,draft,1,marc,marcstampfli@gmail.com,Marc,Stampfli,vans-vegan-delights-social-story,,,0,0,9,closed,closed,2022-10-03
117,"Innovation TT Social Story",,innovation-tt-flyer|innovation-tt-flyer|innovation-tt-flyer|innovation-tt-flyer|innovation-tt-flyer,story|story|story|story|story,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:28:""project-innovation-flyer.jpg"";}","Social Stories",Photoshop,"Innovation TT",https://marcstampfli.com/wp-content/uploads/2021/04/project-innovation-flyer.jpg,project-innovation-flyer.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-innovation-flyer.jpg,267,project-innovation-flyer,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-innovation-flyer.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/project/innovation-tt-social-story/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,innovation-tt-social-story,,,0,0,14,closed,closed,2021-04-10
119,"GameKas Logo",,,logo|logo|logo|logo|logo,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:24:""project-gamekas-logo.jpg"";}",Logos,Photoshop,GameKas,https://marcstampfli.com/wp-content/uploads/2021/04/project-gamekas-logo.jpg,project-gamekas-logo.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-gamekas-logo.jpg,257,project-gamekas-logo,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-gamekas-logo.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/project/gamekas-logo/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,gamekas-logo,,,0,0,25,closed,closed,2021-04-10
121,"Vinci's View Business Card",,,bizcard|bizcard|bizcard|bizcard|bizcard,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,278,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,,"Business Cards",Photoshop,"Vinci's View",https://marcstampfli.com/wp-content/uploads/2021/04/project-vv-bizcard.jpg,project-vv-bizcard.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-vv-bizcard.jpg,278,project-vv-bizcard,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-vv-bizcard.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/?post_type=project&p=121,draft,1,marc,marcstampfli@gmail.com,Marc,Stampfli,vincis-view-business-card,,,0,0,3,closed,closed,2022-10-03
125,"Nicholas Stämpfli Social Story",,,story|story|story|story|story,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:26:""project-nicholas-story.jpg"";}","Social Stories",Photoshop,"Nicholas Stämpfli",https://marcstampfli.com/wp-content/uploads/2021/04/project-nicholas-story.jpg,project-nicholas-story.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-nicholas-story.jpg,270,project-nicholas-story,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-nicholas-story.jpg,,,,,,,,,,2021-04-03,project,https://marcstampfli.com/project/nicholas-stampfli-social-story/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,nicholas-stampfli-social-story,,,0,0,11,closed,closed,2021-04-10
